Trade #,Type,Date and time,Price,Qty,Net PnL,Net PnL %,Favorable excursion USD,Adverse excursion USD,Cumulative PnL
156,Exit long,2026-03-05 13:30,2117.870000,1,24.320000,1.1617,69.450000,-1.120000,-874.540000
156,Entry long,2026-03-05 08:00,2093.550000,1,24.320000,1.1617,69.450000,-1.120000,-874.540000
155,Exit long,2026-03-04 22:45,2130.970000,1,181.760000,9.3248,250.260000,-5.810000,-898.860000
155,Entry long,2026-03-04 03:30,1949.210000,1,181.760000,9.3248,250.260000,-5.810000,-898.860000
154,Exit long,2026-03-03 00:00,2026.340000,1,105.770000,5.5072,168.430000,-4.570000,-1080.620000
154,Entry long,2026-03-02 08:00,1920.570000,1,105.770000,5.5072,168.430000,-4.570000,-1080.620000
153,Exit long,2026-03-01 17:00,1969.890000,1,-4.810000,-0.2436,0.500000,-16.620000,-1186.390000
153,Entry long,2026-03-01 16:45,1974.700000,1,-4.810000,-0.2436,0.500000,-16.620000,-1186.390000
152,Exit long,2026-03-01 07:15,1998.940000,1,108.870000,5.7601,164.600000,-56.010000,-1181.580000
152,Entry long,2026-02-28 06:15,1890.070000,1,108.870000,5.7601,164.600000,-56.010000,-1181.580000
151,Exit long,2026-02-28 01:45,1923.380000,1,-71.180000,-3.5687,3.880000,-109.560000,-1290.450000
151,Entry long,2026-02-27 10:00,1994.560000,1,-71.180000,-3.5687,3.880000,-109.560000,-1290.450000
150,Exit long,2026-02-27 00:30,2012.950000,1,-10.460000,-0.5169,19.190000,-49.920000,-1219.270000
150,Entry long,2026-02-26 15:15,2023.410000,1,-10.460000,-0.5169,19.190000,-49.920000,-1219.270000
149,Exit long,2026-02-25 00:15,1846.190000,1,-0.250000,-0.0135,27.140000,-50.440000,-1208.810000
149,Entry long,2026-02-23 17:30,1846.440000,1,-0.250000,-0.0135,27.140000,-50.440000,-1208.810000
148,Exit long,2026-02-23 00:45,1928.140000,1,-9.440000,-0.4872,22.420000,-10.580000,-1208.560000
148,Entry long,2026-02-22 17:30,1937.580000,1,-9.440000,-0.4872,22.420000,-10.580000,-1208.560000
147,Exit long,2026-02-19 09:45,1962.940000,1,6.020000,0.3076,52.880000,-35.280000,-1199.120000
147,Entry long,2026-02-18 14:45,1956.920000,1,6.020000,0.3076,52.880000,-35.280000,-1199.120000
146,Exit long,2026-02-17 14:45,1947.550000,1,4.040000,0.2079,4.040000,-1.080000,-1205.140000
146,Entry long,2026-02-17 14:45,1943.510000,1,4.040000,0.2079,4.040000,-1.080000,-1205.140000
145,Exit long,2026-02-15 08:45,2068.000000,1,25.680000,1.2574,60.410000,-7.970000,-1209.180000
145,Entry long,2026-02-15 02:30,2042.320000,1,25.680000,1.2574,60.410000,-7.970000,-1209.180000
144,Exit long,2026-02-13 05:45,1932.990000,1,-2.790000,-0.1441,22.160000,-42.010000,-1234.860000
144,Entry long,2026-02-12 16:00,1935.780000,1,-2.790000,-0.1441,22.160000,-42.010000,-1234.860000
143,Exit long,2026-02-11 15:00,1916.890000,1,-62.240000,-3.1448,36.300000,-77.910000,-1232.070000
143,Entry long,2026-02-11 04:15,1979.130000,1,-62.240000,-3.1448,36.300000,-77.910000,-1232.070000
142,Exit long,2026-02-10 18:30,2008.990000,1,-68.500000,-3.2972,0.000000,-93.720000,-1169.830000
142,Entry long,2026-02-10 03:15,2077.490000,1,-68.500000,-3.2972,0.000000,-93.720000,-1169.830000
141,Exit long,2026-02-10 00:15,2103.120000,1,53.550000,2.6127,98.430000,-41.570000,-1101.330000
141,Entry long,2026-02-09 08:15,2049.570000,1,53.550000,2.6127,98.430000,-41.570000,-1101.330000
140,Exit long,2026-02-09 05:00,2082.990000,1,6.900000,0.3324,30.150000,-23.170000,-1154.880000
140,Entry long,2026-02-08 23:30,2076.090000,1,6.900000,0.3324,30.150000,-23.170000,-1154.880000
139,Exit long,2026-02-07 07:00,2013.930000,1,-5.540000,-0.2743,0.000000,-7.530000,-1161.780000
139,Entry long,2026-02-07 07:00,2019.470000,1,-5.540000,-0.2743,0.000000,-7.530000,-1161.780000
138,Exit long,2026-02-06 08:00,1900.970000,1,8.800000,0.4651,82.660000,-13.570000,-1156.240000
138,Entry long,2026-02-06 02:15,1892.170000,1,8.800000,0.4651,82.660000,-13.570000,-1156.240000
137,Exit long,2026-02-05 11:00,2086.210000,1,-25.770000,-1.2202,51.120000,-50.760000,-1165.040000
137,Entry long,2026-02-05 02:15,2111.980000,1,-25.770000,-1.2202,51.120000,-50.760000,-1165.040000
136,Exit long,2026-02-04 21:15,2142.410000,1,-84.360000,-3.7884,41.020000,-153.090000,-1139.270000
136,Entry long,2026-02-04 11:00,2226.770000,1,-84.360000,-3.7884,41.020000,-153.090000,-1139.270000
135,Exit long,2026-02-03 23:45,2232.230000,1,-20.720000,-0.9197,23.070000,-41.950000,-1054.910000
135,Entry long,2026-02-03 22:15,2252.950000,1,-20.720000,-0.9197,23.070000,-41.950000,-1054.910000
134,Exit long,2026-02-03 14:45,2255.660000,1,-9.170000,-0.4049,0.000000,-10.830000,-1034.190000
134,Entry long,2026-02-03 14:45,2264.830000,1,-9.170000,-0.4049,0.000000,-10.830000,-1034.190000
133,Exit long,2026-02-03 05:15,2328.310000,1,24.840000,1.0784,50.930000,-21.460000,-1025.020000
133,Entry long,2026-02-03 02:45,2303.470000,1,24.840000,1.0784,50.930000,-21.460000,-1025.020000
132,Exit long,2026-02-01 05:30,2426.040000,1,-228.680000,-8.6141,7.880000,-452.320000,-1049.860000
132,Entry long,2026-01-31 08:15,2654.720000,1,-228.680000,-8.6141,7.880000,-452.320000,-1049.860000
131,Exit long,2026-01-30 20:15,2681.400000,1,-21.160000,-0.7830,57.440000,-67.930000,-821.180000
131,Entry long,2026-01-30 15:30,2702.560000,1,-21.160000,-0.7830,57.440000,-67.930000,-821.180000
130,Exit long,2026-01-30 00:15,2806.090000,1,-154.340000,-5.2134,11.000000,-207.930000,-800.020000
130,Entry long,2026-01-29 02:30,2960.430000,1,-154.340000,-5.2134,11.000000,-207.930000,-800.020000
129,Exit long,2026-01-26 17:15,2895.660000,1,11.520000,0.3994,65.860000,-99.990000,-645.680000
129,Entry long,2026-01-25 16:15,2884.140000,1,11.520000,0.3994,65.860000,-99.990000,-645.680000
128,Exit long,2026-01-23 20:30,2936.500000,1,44.320000,1.5324,128.270000,-1.980000,-657.200000
128,Entry long,2026-01-23 14:30,2892.180000,1,44.320000,1.5324,128.270000,-1.980000,-657.200000
127,Exit long,2026-01-22 07:15,3009.070000,1,37.320000,1.2558,65.740000,-1.100000,-701.520000
127,Entry long,2026-01-21 23:45,2971.750000,1,37.320000,1.2558,65.740000,-1.100000,-701.520000
126,Exit long,2026-01-21 16:30,2887.310000,1,-28.500000,-0.9774,0.000000,-29.810000,-738.840000
126,Entry long,2026-01-21 16:30,2915.810000,1,-28.500000,-0.9774,0.000000,-29.810000,-738.840000
125,Exit long,2026-01-21 07:45,2969.010000,1,-186.000000,-5.8954,18.990000,-245.010000,-710.340000
125,Entry long,2026-01-20 05:00,3155.010000,1,-186.000000,-5.8954,18.990000,-245.010000,-710.340000
124,Exit long,2026-01-19 14:15,3207.990000,1,-39.650000,-1.2209,0.000000,-72.640000,-524.340000
124,Entry long,2026-01-19 00:00,3247.640000,1,-39.650000,-1.2209,0.000000,-72.640000,-524.340000
123,Exit long,2026-01-15 15:15,3331.080000,1,50.520000,1.5400,102.510000,-5.200000,-484.690000
123,Entry long,2026-01-15 03:30,3280.560000,1,50.520000,1.5400,102.510000,-5.200000,-484.690000
122,Exit long,2026-01-12 17:45,3103.450000,1,39.380000,1.2852,81.860000,-2.720000,-535.210000
